,SUMMARY,CLIENT,FREQUENCY,PAY_DATE,INPUTS_DUE,SEND_REPORTS
0,acme inc - monthly - 2019-10-31,acme inc,monthly,2019-10-31,2019-10-24,2019-10-31
1,acme inc - monthly - 2019-11-29,acme inc,monthly,2019-11-29,2019-11-22,2019-11-29
2,acme inc - monthly - 2019-12-31,acme inc,monthly,2019-12-31,2019-12-24,2019-12-31
3,acme inc - monthly - 2020-01-31,acme inc,monthly,2020-01-31,2020-01-24,2020-01-31
4,acme inc - monthly - 2020-02-28,acme inc,monthly,2020-02-28,2020-02-21,2020-02-28
5,acme inc - monthly - 2020-03-31,acme inc,monthly,2020-03-31,2020-03-24,2020-03-31
6,acme inc - monthly - 2020-04-30,acme inc,monthly,2020-04-30,2020-04-23,2020-04-30
7,acme inc - monthly - 2020-05-29,acme inc,monthly,2020-05-29,2020-05-22,2020-05-29
8,acme inc - monthly - 2020-06-30,acme inc,monthly,2020-06-30,2020-06-23,2020-06-30
9,acme inc - monthly - 2020-07-31,acme inc,monthly,2020-07-31,2020-07-24,2020-07-31
10,acme inc - monthly - 2020-08-31,acme inc,monthly,2020-08-31,2020-08-24,2020-08-31
11,acme inc - monthly - 2020-09-30,acme inc,monthly,2020-09-30,2020-09-23,2020-09-30
12,damage inc - monthly - 2019-10-18,damage inc,monthly,2019-10-25,2019-10-15,2019-10-18
13,damage inc - monthly - 2019-11-18,damage inc,monthly,2019-11-25,2019-11-15,2019-11-18
14,damage inc - monthly - 2019-12-18,damage inc,monthly,2019-12-26,2019-12-13,2019-12-18
15,damage inc - monthly - 2020-01-17,damage inc,monthly,2020-01-24,2020-01-15,2020-01-17
16,damage inc - monthly - 2020-02-18,damage inc,monthly,2020-02-24,2020-02-14,2020-02-18
17,damage inc - monthly - 2020-03-18,damage inc,monthly,2020-03-26,2020-03-13,2020-03-18
18,damage inc - monthly - 2020-04-17,damage inc,monthly,2020-04-24,2020-04-15,2020-04-17
19,damage inc - monthly - 2020-05-18,damage inc,monthly,2020-05-26,2020-05-15,2020-05-18
